id,host_id,neighbourhood_group,neighbourhood,room_type,price,last_review
12940,50148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,25/05/2019
13050,50846,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,01/01/2017
13394,52335,Brooklyn,Fort Greene,Private room,80,17/06/2019
13808,54275,Brooklyn,Bedford-Stuyvesant,Private room,80,16/06/2019
14287,56094,Manhattan,Upper West Side,Entire home/apt,151,07/07/2019
14290,56104,Brooklyn,Williamsburg,Entire home/apt,228,17/05/2019
14314,56246,Brooklyn,Greenpoint,Entire home/apt,144,29/06/2019
14322,56284,Manhattan,Kips Bay,Entire home/apt,200,25/03/2019
14377,56512,Brooklyn,Williamsburg,Entire home/apt,150,22/06/2019
14991,59023,Manhattan,Lower East Side,Private room,110,18/05/2019
15220,59734,Manhattan,Hell's Kitchen,Private room,69,09/06/2019
15338,32169,Brooklyn,Greenpoint,Private room,49,04/06/2019
15341,60049,Manhattan,SoHo,Entire home/apt,180,29/06/2019
15385,60252,Brooklyn,Williamsburg,Private room,80,30/06/2019
15396,60278,Manhattan,Chelsea,Entire home/apt,375,03/11/2018
15711,61491,Manhattan,Upper East Side,Entire home/apt,250,30/03/2019
16326,63588,Brooklyn,Prospect Heights,Entire home/apt,200,26/01/2019
16338,63613,Brooklyn,Clinton Hill,Private room,55,30/09/2017
16421,63924,Manhattan,Hell's Kitchen,Private room,52,16/05/2019
16458,64056,Brooklyn,Park Slope,Entire home/apt,225,24/09/2017
16580,64442,Manhattan,East Village,Private room,80,01/07/2019
16595,64522,Brooklyn,Williamsburg,Entire home/apt,275,23/06/2019
16821,4396,Manhattan,East Village,Private room,99,21/06/2019
16974,65837,Manhattan,East Harlem,Entire home/apt,225,23/06/2019
17037,66035,Manhattan,East Village,Entire home/apt,230,14/05/2018
17092,66243,Manhattan,Hell's Kitchen,Private room,51,01/06/2019
17693,68428,Manhattan,Washington Heights,Private room,65,18/06/2019
17747,68599,Brooklyn,Clinton Hill,Private room,105,26/06/2019
18127,69829,Manhattan,East Village,Entire home/apt,190,02/01/2019
18152,69942,Manhattan,Upper East Side,Private room,200,06/07/2019
18198,70091,Queens,Woodside,Private room,70,31/05/2019
18590,71512,Brooklyn,Fort Greene,Private room,95,16/06/2019
18728,71876,Manhattan,Chelsea,Private room,150,28/05/2019
18764,72014,Brooklyn,Williamsburg,Private room,145,22/04/2019
19159,73051,Manhattan,Harlem,Entire home/apt,110,23/03/2019
19169,73128,Manhattan,Lower East Side,Entire home/apt,285,30/06/2019
19282,73469,Brooklyn,Flatbush,Entire home/apt,130,15/06/2019
19319,44263,Manhattan,Lower East Side,Private room,94,08/04/2019
19601,74303,Brooklyn,Brooklyn Heights,Entire home/apt,800,04/08/2016
19812,74857,Brooklyn,Williamsburg,Entire home/apt,105,09/08/2018
20299,62407,Manhattan,East Village,Private room,60,30/06/2019
20300,76627,Manhattan,East Village,Private room,50,14/02/2016
20611,72014,Brooklyn,Williamsburg,Private room,85,22/06/2019
20724,961342,Brooklyn,Bushwick,Private room,65,26/05/2019
20734,78460,Brooklyn,Prospect Heights,Entire home/apt,131,27/06/2019
20755,51038,Brooklyn,Clinton Hill,Private room,98,31/05/2019
20853,79070,Brooklyn,Prospect Heights,Entire home/apt,250,21/05/2019
20913,79402,Brooklyn,Williamsburg,Entire home/apt,100,22/07/2018
21293,44145,Brooklyn,Bushwick,Entire home/apt,105,18/06/2019
21456,42032,Manhattan,Upper West Side,Entire home/apt,140,07/07/2019
21644,82685,Manhattan,Harlem,Private room,89,09/10/2018
21794,83257,Manhattan,Chelsea,Private room,98,01/05/2019
22911,87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,28/10/2018
22918,32294,Manhattan,Harlem,Private room,60,03/01/2019
23135,11481,Brooklyn,Carroll Gardens,Entire home/apt,175,24/06/2019
23501,63318,Manhattan,Washington Heights,Private room,65,01/11/2012
23686,93790,Manhattan,West Village,Entire home/apt,500,18/05/2019
24143,97219,Brooklyn,Williamsburg,Private room,101,29/05/2019
24285,97797,Brooklyn,Park Slope,Entire home/apt,220,02/11/2018
25235,87773,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,28/06/2019
25406,105538,Brooklyn,Williamsburg,Entire home/apt,80,26/05/2018
25696,107628,Manhattan,Harlem,Private room,100,23/06/2019
26012,109589,Brooklyn,Gowanus,Entire home/apt,200,17/03/2017
26362,59734,Manhattan,Hell's Kitchen,Private room,59,16/06/2019
26520,51038,Brooklyn,Clinton Hill,Private room,125,02/06/2019
26559,112793,Manhattan,East Village,Entire home/apt,140,11/12/2017
26785,42273,Brooklyn,South Slope,Entire home/apt,120,30/12/2018
26933,72062,Manhattan,East Village,Entire home/apt,350,09/08/2017
26954,115157,Manhattan,Kips Bay,Entire home/apt,199,02/12/2015
26969,115307,Brooklyn,Williamsburg,Entire home/apt,325,23/06/2019
27006,115560,Manhattan,Upper West Side,Entire home/apt,235,27/04/2019
27385,72062,Manhattan,East Village,Entire home/apt,225,07/06/2019
27531,118971,Brooklyn,South Slope,Private room,99,20/05/2019
27644,119510,Manhattan,Harlem,Entire home/apt,170,01/07/2019
27659,119588,Brooklyn,South Slope,Entire home/apt,400,30/12/2018
27759,119900,Manhattan,Upper West Side,Entire home/apt,170,26/06/2019
27883,120223,Manhattan,East Village,Entire home/apt,100,10/12/2011
28321,65091,Brooklyn,Prospect-Lefferts Gardens,Private room,75,05/10/2018
28396,6197784,Brooklyn,Williamsburg,Private room,90,18/09/2011
28907,124352,Manhattan,Upper East Side,Entire home/apt,150,15/08/2017
29012,124797,Manhattan,Washington Heights,Private room,85,17/08/2017
29013,35935,Brooklyn,Bedford-Stuyvesant,Private room,70,14/05/2019
29455,126607,Manhattan,Harlem,Entire home/apt,120,20/06/2019
29628,127608,Brooklyn,Clinton Hill,Private room,89,03/07/2019
29683,125857,Manhattan,East Village,Entire home/apt,185,25/06/2019
30031,129352,Brooklyn,Greenpoint,Private room,50,20/05/2019
30927,120335,Manhattan,Lower East Side,Entire home/apt,105,14/06/2019
31130,117287,Manhattan,Hell's Kitchen,Private room,130,26/05/2019
31555,135619,Manhattan,West Village,Entire home/apt,115,01/07/2019
31902,137292,Brooklyn,Flatlands,Private room,77,01/01/2019
31994,137814,Brooklyn,Clinton Hill,Private room,76,24/06/2019
32023,137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,23/06/2019
32037,116599,Brooklyn,Clinton Hill,Private room,135,01/07/2019
32100,138579,Brooklyn,Greenpoint,Entire home/apt,250,30/07/2017
32289,139612,Brooklyn,Williamsburg,Entire home/apt,199,11/06/2018
32331,139874,Brooklyn,Cobble Hill,Entire home/apt,140,24/04/2016
32363,140025,Queens,Flushing,Private room,140,19/09/2011
32965,137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,20/06/2019
32969,142833,Brooklyn,Williamsburg,Entire home/apt,160,02/07/2019
33009,143027,Brooklyn,Williamsburg,Entire home/apt,195,17/06/2019
33014,143048,Manhattan,East Village,Entire home/apt,195,17/06/2019
33223,72014,Brooklyn,Williamsburg,Private room,80,22/06/2019
34760,149929,Brooklyn,Fort Greene,Private room,44,29/06/2019
35526,120291,Manhattan,West Village,Private room,156,22/06/2019
36121,62165,Brooklyn,Prospect Heights,Private room,85,10/05/2013
36133,142684,Brooklyn,Williamsburg,Private room,125,13/06/2019
36442,137432,Brooklyn,Prospect Heights,Entire home/apt,115,27/08/2018
36647,157798,Manhattan,East Harlem,Private room,69,29/05/2017
36703,158284,Manhattan,West Village,Entire home/apt,225,31/03/2019
36934,159370,Brooklyn,Williamsburg,Entire home/apt,125,27/12/2018
38638,92788,Manhattan,Upper East Side,Entire home/apt,219,26/06/2019
38663,165789,Brooklyn,Boerum Hill,Entire home/apt,475,31/12/2018
39267,168417,Manhattan,Upper East Side,Entire home/apt,99,08/06/2019
39282,168525,Brooklyn,Williamsburg,Private room,69,28/05/2019
39593,110506,Queens,Sunnyside,Private room,79,12/04/2019
39704,170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,22/06/2019
40039,171851,Brooklyn,DUMBO,Private room,250,25/04/2011
40453,174025,Manhattan,Upper East Side,Entire home/apt,250,23/09/2016
41348,180083,Brooklyn,Gowanus,Entire home/apt,250,06/07/2019
41513,181167,Manhattan,Harlem,Entire home/apt,80,02/11/2015
42580,137814,Brooklyn,Clinton Hill,Private room,70,24/06/2019
42729,11481,Brooklyn,Carroll Gardens,Entire home/apt,165,18/06/2019
42882,185978,Staten Island,St. George,Private room,70,13/06/2019
43957,177536,Brooklyn,Bushwick,Private room,50,19/06/2019
44096,190409,Bronx,Highbridge,Private room,40,04/07/2019
44161,193360,Brooklyn,Williamsburg,Entire home/apt,150,06/07/2016
44212,72062,Manhattan,East Village,Private room,125,23/06/2019
44221,193722,Manhattan,Financial District,Entire home/apt,196,20/06/2019
44229,181376,Brooklyn,Fort Greene,Private room,110,24/06/2019
44288,193637,Manhattan,West Village,Entire home/apt,170,01/06/2019
44506,126607,Manhattan,Harlem,Entire home/apt,165,26/05/2019
45393,201297,Manhattan,West Village,Entire home/apt,150,20/04/2016
45542,202249,Manhattan,Harlem,Entire home/apt,100,17/12/2018
45556,67778,Brooklyn,Fort Greene,Private room,65,30/06/2019
45910,204539,Queens,Ridgewood,Entire home/apt,350,12/05/2019
45936,867225,Manhattan,Morningside Heights,Private room,99,14/05/2019
45940,204724,Brooklyn,Williamsburg,Entire home/apt,200,08/04/2019
46544,8198,Brooklyn,Park Slope,Entire home/apt,150,05/06/2019
46723,209460,Brooklyn,Bedford-Stuyvesant,Private room,90,19/05/2019
46911,210746,Brooklyn,Prospect Heights,Private room,120,24/06/2019
47199,212722,Manhattan,Upper East Side,Private room,75,24/06/2019
47362,214148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,03/09/2012
47370,214287,Manhattan,Chelsea,Entire home/apt,125,17/07/2015
47926,218404,Manhattan,Hell's Kitchen,Entire home/apt,275,26/06/2019
48719,221873,Manhattan,Lower East Side,Entire home/apt,299,15/06/2019
50447,9744,Brooklyn,South Slope,Entire home/apt,135,22/06/2019
51438,236421,Manhattan,Upper East Side,Private room,130,
51485,236655,Manhattan,Lower East Side,Private room,83,22/06/2019
51572,237329,Manhattan,Chelsea,Private room,123,18/06/2019
51850,27848,Queens,Jamaica,Private room,55,20/05/2019
53137,240360,Manhattan,Hell's Kitchen,Entire home/apt,195,01/07/2019
53196,247432,Brooklyn,Bedford-Stuyvesant,Private room,80,13/11/2017
53469,204539,Queens,Middle Village,Entire home/apt,98,09/05/2015
53470,204539,Queens,Ridgewood,Private room,140,08/10/2015
53477,204539,Queens,Middle Village,Entire home/apt,265,27/04/2019
54158,10889,Brooklyn,Williamsburg,Entire home/apt,249,20/06/2019
54453,255583,Manhattan,Hell's Kitchen,Shared room,105,07/01/2014
54466,253385,Manhattan,Harlem,Private room,200,
54508,210746,Brooklyn,Prospect Heights,Private room,100,06/06/2019
54544,256161,Manhattan,Harlem,Entire home/apt,121,22/06/2019
54626,190409,Bronx,Highbridge,Private room,45,30/06/2019
54860,258164,Manhattan,East Harlem,Private room,100,23/06/2019
55467,260709,Brooklyn,Williamsburg,Entire home/apt,140,02/07/2019
55498,262138,Brooklyn,Bedford-Stuyvesant,Private room,71,01/07/2019
55668,88209,Manhattan,NoHo,Private room,130,05/12/2018
55737,263414,Manhattan,West Village,Entire home/apt,199,19/05/2019
55959,168525,Brooklyn,Williamsburg,Private room,69,10/06/2019
55982,264928,Brooklyn,Fort Greene,Private room,68,31/12/2018
56467,267593,Manhattan,East Village,Entire home/apt,130,01/07/2019
56525,268014,Brooklyn,Greenpoint,Entire home/apt,195,13/06/2019
56859,256161,Manhattan,Harlem,Private room,64,03/06/2019
57166,272006,Queens,Ditmars Steinway,Entire home/apt,140,17/06/2019
57297,199392,Brooklyn,Cobble Hill,Entire home/apt,159,24/06/2019
57468,239208,Manhattan,East Village,Entire home/apt,189,23/06/2019
57618,274557,Manhattan,Hell's Kitchen,Entire home/apt,250,09/06/2019
57740,275459,Manhattan,East Village,Entire home/apt,239,24/05/2019
57754,275578,Manhattan,Flatiron District,Entire home/apt,305,30/06/2019
57874,276291,Manhattan,Harlem,Entire home/apt,155,26/06/2019
58059,277379,Manhattan,Harlem,Private room,60,03/07/2019
58062,277394,Brooklyn,Windsor Terrace,Private room,135,17/05/2019
58467,279797,Manhattan,Roosevelt Island,Private room,120,08/05/2019
59014,282927,Manhattan,Lower East Side,Entire home/apt,150,02/01/2019
59121,204539,Queens,Ridgewood,Entire home/apt,140,17/09/2012
59642,274782,Brooklyn,Greenpoint,Entire home/apt,135,19/05/2019
59709,186084,Manhattan,Chinatown,Entire home/apt,250,01/07/2019
59855,288031,Manhattan,Midtown,Entire home/apt,250,05/01/2016
60164,289653,Manhattan,SoHo,Entire home/apt,500,23/06/2019
60457,99212,Manhattan,Greenwich Village,Entire home/apt,225,11/05/2019
60611,292204,Manhattan,East Harlem,Entire home/apt,125,29/09/2018
60666,256161,Manhattan,Harlem,Private room,92,11/06/2019
60673,249372,Manhattan,Harlem,Private room,175,07/10/2018
60680,292630,Manhattan,East Village,Entire home/apt,99,20/06/2019
60794,293394,Manhattan,Upper West Side,Entire home/apt,195,25/08/2017
60948,126607,Manhattan,East Harlem,Entire home/apt,140,20/06/2019
61167,295760,Manhattan,Little Italy,Entire home/apt,135,12/12/2015
61224,291112,Manhattan,Chelsea,Entire home/apt,500,27/07/2017
61406,297176,Manhattan,Harlem,Private room,80,01/06/2019
61492,297769,Manhattan,Chinatown,Private room,120,23/06/2019
61509,23619,Manhattan,Midtown,Entire home/apt,110,30/04/2019
62095,281764,Brooklyn,East Flatbush,Entire home/apt,65,14/06/2019
62427,303882,Manhattan,East Village,Entire home/apt,130,26/05/2019
62430,197755,Brooklyn,Bushwick,Entire home/apt,99,22/06/2019
62452,303939,Staten Island,Tompkinsville,Private room,36,25/06/2019
62461,303939,Staten Island,Tompkinsville,Private room,37,10/06/2019
62787,303939,Staten Island,Tompkinsville,Private room,37,02/07/2019
62891,306545,Manhattan,East Village,Entire home/apt,175,24/05/2019
62903,306605,Manhattan,Chelsea,Entire home/apt,205,21/06/2019
62925,306739,Brooklyn,Greenpoint,Entire home/apt,285,16/06/2019
63299,308875,Brooklyn,Williamsburg,Private room,59,23/06/2019
63320,303939,Staten Island,Tompkinsville,Private room,36,02/07/2019
63360,307962,Queens,Astoria,Entire home/apt,99,24/06/2019
63546,308652,Brooklyn,Kensington,Private room,39,16/05/2019
63573,310458,Brooklyn,Park Slope,Private room,60,29/08/2016
63588,295128,Bronx,Clason Point,Private room,90,
63610,310670,Bronx,Eastchester,Entire home/apt,105,27/06/2019
63657,170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,25/06/2019
63693,306545,Manhattan,East Village,Entire home/apt,390,19/06/2019
63719,311286,Brooklyn,Bedford-Stuyvesant,Private room,70,19/08/2018
63913,312288,Manhattan,Inwood,Private room,75,
64000,312722,Brooklyn,Williamsburg,Private room,60,07/01/2019
64015,146944,Manhattan,East Village,Entire home/apt,200,
64107,313317,Brooklyn,Crown Heights,Private room,100,24/06/2019
64277,311286,Brooklyn,Bedford-Stuyvesant,Private room,70,02/01/2019
64314,314256,Brooklyn,Crown Heights,Private room,110,26/05/2019
64365,314582,Brooklyn,Crown Heights,Private room,60,27/06/2019
64707,7310,Manhattan,Little Italy,Entire home/apt,90,02/01/2019
64837,46978,Manhattan,East Village,Private room,68,23/06/2019
65019,317809,Manhattan,Upper West Side,Entire home/apt,115,06/07/2019
65268,319092,Brooklyn,Bedford-Stuyvesant,Private room,75,05/01/2019
65556,320422,Brooklyn,Williamsburg,Private room,60,
65562,320450,Manhattan,East Village,Entire home/apt,129,03/01/2019
65615,320761,Brooklyn,Williamsburg,Entire home/apt,130,29/06/2019
65660,320538,Brooklyn,Williamsburg,Entire home/apt,95,07/07/2019
65813,321756,Manhattan,Harlem,Private room,75,02/01/2019
65834,321934,Brooklyn,Park Slope,Entire home/apt,175,02/05/2013
66008,322884,Brooklyn,Carroll Gardens,Entire home/apt,190,01/07/2019
66026,322716,Brooklyn,Crown Heights,Private room,49,30/06/2019
66251,324460,Manhattan,East Village,Entire home/apt,212,25/06/2019
66275,314941,Manhattan,Lower East Side,Private room,95,23/06/2019
66451,325389,Brooklyn,Williamsburg,Entire home/apt,140,16/02/2019
66718,136227,Manhattan,Harlem,Entire home/apt,135,23/06/2019
66741,327673,Brooklyn,Park Slope,Entire home/apt,150,23/06/2019
66974,329436,Brooklyn,Gowanus,Entire home/apt,190,01/07/2019
67288,101597,Manhattan,East Harlem,Entire home/apt,124,15/06/2019
67299,330347,Brooklyn,Williamsburg,Entire home/apt,135,06/05/2019
67397,332189,Manhattan,Morningside Heights,Private room,122,22/06/2019
68099,323517,Manhattan,Upper West Side,Private room,109,25/06/2019
68305,338454,Manhattan,Harlem,Private room,85,06/07/2018
68403,240427,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,24/06/2019
68735,342054,Manhattan,Upper West Side,Entire home/apt,195,13/06/2019
68765,282655,Brooklyn,Carroll Gardens,Entire home/apt,250,27/06/2019
68900,343250,Brooklyn,Greenpoint,Private room,125,13/11/2016
68974,281229,Manhattan,Little Italy,Entire home/apt,575,20/06/2019
69894,352168,Manhattan,Upper West Side,Entire home/apt,150,11/06/2019
69921,155689,Brooklyn,Bushwick,Private room,70,29/06/2019
70095,353965,Manhattan,Inwood,Private room,90,30/06/2019
70128,354330,Manhattan,East Village,Private room,65,10/01/2019
70609,72062,Manhattan,East Village,Entire home/apt,500,16/06/2019
71010,361855,Manhattan,Washington Heights,Entire home/apt,250,24/05/2019
71248,363834,Manhattan,Chinatown,Entire home/apt,125,17/06/2019
71366,364955,Manhattan,West Village,Entire home/apt,200,25/06/2019
71384,365153,Brooklyn,Greenpoint,Entire home/apt,229,13/05/2014
71812,369015,Bronx,Kingsbridge,Entire home/apt,90,02/01/2019
72190,373085,Manhattan,Upper West Side,Entire home/apt,110,15/02/2019
72265,340692,Brooklyn,Greenpoint,Private room,59,16/06/2019
74073,211877,Brooklyn,Williamsburg,Entire home/apt,195,23/06/2019
74240,389924,Brooklyn,Williamsburg,Entire home/apt,169,07/06/2019
74333,331328,Manhattan,East Harlem,Entire home/apt,113,25/11/2015
74404,391325,Manhattan,Harlem,Entire home/apt,250,22/08/2012
74680,265109,Queens,Astoria,Entire home/apt,115,31/05/2019
74860,394752,Brooklyn,Greenpoint,Private room,55,28/03/2011
75193,308875,Brooklyn,Williamsburg,Private room,69,22/06/2019
75635,401696,Manhattan,Lower East Side,Entire home/apt,150,27/06/2019
76761,118971,Brooklyn,South Slope,Entire home/apt,169,28/06/2019
77765,417504,Brooklyn,Greenpoint,Private room,179,01/07/2019
77936,134355,Manhattan,Hell's Kitchen,Private room,150,14/06/2019
78919,422561,Brooklyn,Boerum Hill,Entire home/apt,135,05/02/2016
79067,425506,Brooklyn,Clinton Hill,Entire home/apt,350,20/04/2019
79782,430188,Brooklyn,Williamsburg,Private room,120,31/03/2019
80493,434987,Manhattan,East Village,Private room,71,04/07/2019
80684,417504,Brooklyn,Greenpoint,Private room,349,27/03/2016
80700,417504,Brooklyn,Greenpoint,Private room,349,24/05/2019
80924,438133,Brooklyn,Park Slope,Entire home/apt,165,25/09/2018
81739,417504,Brooklyn,Greenpoint,Private room,249,12/05/2011
82549,448312,Brooklyn,Brooklyn Heights,Private room,100,16/09/2016
82550,448312,Brooklyn,Brooklyn Heights,Entire home/apt,200,30/06/2019
82638,449787,Manhattan,East Village,Entire home/apt,169,06/06/2019
82928,451545,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,02/07/2019
83243,453519,Brooklyn,Bushwick,Entire home/apt,65,10/06/2019
83446,454756,Brooklyn,Fort Greene,Entire home/apt,130,03/09/2018
83722,456638,Brooklyn,Williamsburg,Entire home/apt,199,26/08/2018
83847,410094,Manhattan,East Village,Entire home/apt,225,02/01/2019
84010,417504,Brooklyn,Greenpoint,Private room,179,27/06/2019
84059,459054,Brooklyn,Crown Heights,Entire home/apt,150,22/07/2018
84659,462776,Manhattan,East Village,Entire home/apt,139,26/06/2019
84905,464506,Manhattan,Two Bridges,Private room,95,23/06/2019
85094,322716,Brooklyn,Crown Heights,Entire home/apt,79,14/01/2019
86215,327900,Manhattan,Lower East Side,Entire home/apt,150,24/06/2019
89427,116599,Brooklyn,Clinton Hill,Entire home/apt,650,
89621,209460,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,28/06/2019
93313,25183,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,23/06/2019
94035,35375,Queens,Astoria,Private room,80,06/07/2019
94209,503800,Brooklyn,Crown Heights,Entire home/apt,100,
94477,478395,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,05/07/2019
94783,473113,Brooklyn,Crown Heights,Entire home/apt,120,21/06/2019
95747,509341,Brooklyn,Williamsburg,Entire home/apt,140,18/07/2016
95883,509918,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,26/12/2018
96471,116599,Brooklyn,Clinton Hill,Private room,165,07/06/2019
98330,31374,Manhattan,Kips Bay,Entire home/apt,125,03/01/2012
98663,520279,Manhattan,Chelsea,Entire home/apt,130,11/06/2018
99070,522065,Manhattan,East Harlem,Shared room,65,26/05/2019
99085,522164,Brooklyn,Fort Greene,Entire home/apt,123,01/05/2019
100002,523218,Manhattan,Washington Heights,Private room,67,17/06/2019
100184,526653,Queens,Queens Village,Private room,50,08/07/2019
100186,526805,Brooklyn,Gowanus,Entire home/apt,130,28/06/2019
101053,530032,Brooklyn,Williamsburg,Private room,100,01/03/2019
102995,178043,Manhattan,Upper West Side,Entire home/apt,212,01/01/2018
103161,465278,Brooklyn,Williamsburg,Entire home/apt,190,26/06/2019
103311,417504,Brooklyn,Greenpoint,Private room,599,19/05/2018
103806,251176,Manhattan,East Village,Entire home/apt,249,27/05/2019
105469,547386,Queens,Rockaway Beach,Private room,70,21/09/2015
105510,322716,Brooklyn,Crown Heights,Entire home/apt,100,05/01/2019
106363,551055,Manhattan,Harlem,Private room,60,26/06/2019
106647,552679,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,16/06/2019
107630,306739,Brooklyn,Greenpoint,Entire home/apt,175,20/06/2019
107895,3088389,Manhattan,Upper West Side,Entire home/apt,120,19/06/2019
110739,568568,Manhattan,Midtown,Entire home/apt,169,03/07/2019
112100,572527,Brooklyn,Crown Heights,Entire home/apt,165,01/01/2013
112304,573316,Manhattan,Harlem,Private room,90,02/01/2016
112359,571952,Manhattan,Upper East Side,Entire home/apt,225,28/12/2018
112435,181376,Brooklyn,Fort Greene,Private room,95,24/05/2019
113265,314582,Brooklyn,Crown Heights,Private room,55,21/06/2019
113945,275582,Manhattan,Hell's Kitchen,Private room,85,11/05/2019
114123,579495,Brooklyn,South Slope,Entire home/apt,199,19/05/2019
114229,314941,Manhattan,Lower East Side,Entire home/apt,211,08/06/2019
114969,582598,Manhattan,Midtown,Entire home/apt,145,24/09/2018
115535,567187,Manhattan,Harlem,Private room,65,01/06/2019
115678,127772,Manhattan,Harlem,Entire home/apt,99,23/06/2019
115748,585166,Queens,Astoria,Entire home/apt,110,16/06/2019
116940,209460,Brooklyn,Crown Heights,Entire home/apt,80,24/06/2019
117425,593115,Brooklyn,Brooklyn Heights,Entire home/apt,150,26/05/2018
118061,2248897,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,28/06/2019
118430,585458,Manhattan,Chelsea,Private room,290,03/01/2019
118680,599354,Manhattan,East Village,Private room,87,
120362,138069,Brooklyn,Williamsburg,Entire home/apt,190,02/07/2019
121687,262812,Brooklyn,Williamsburg,Entire home/apt,200,23/06/2019
121861,611716,Brooklyn,Park Slope,Entire home/apt,165,02/05/2016
123784,617990,Manhattan,Harlem,Entire home/apt,110,16/06/2019
125053,622460,Manhattan,East Village,Entire home/apt,395,01/07/2019
125163,622855,Brooklyn,Bedford-Stuyvesant,Private room,99,03/06/2019
125594,308652,Brooklyn,Kensington,Private room,39,19/05/2019
126443,627217,Manhattan,East Village,Entire home/apt,189,07/07/2019
126816,620288,Manhattan,Upper West Side,Private room,85,06/11/2014
127387,23276,Brooklyn,Gowanus,Entire home/apt,260,04/08/2014
128975,256161,Manhattan,Harlem,Entire home/apt,122,13/06/2019
131154,275563,Brooklyn,Greenpoint,Entire home/apt,165,07/07/2019
132516,85330,Queens,Forest Hills,Entire home/apt,97,01/07/2019
132570,651390,Manhattan,West Village,Entire home/apt,170,26/12/2017
